time;model_id;model_name;port_name;data
0;1;int to float model;;{sv1: 0, sv2: 0}
0;2;counter model;;{count: 0, increment: 1}
1;1;int to float model;;{sv1: 0, sv2: 0}
1;2;counter model;count_out;0
1;2;counter model;;{count: 1, increment: 1}
1;1;int to float model;outFloat;0
1;1;int to float model;;{sv1: 0, sv2: 0}
2;1;int to float model;;{sv1: 1, sv2: 0}
2;2;counter model;count_out;1
2;2;counter model;;{count: 2, increment: 1}
2;1;int to float model;outFloat;0
2;1;int to float model;;{sv1: 1, sv2: 0.1}
3;1;int to float model;;{sv1: 2, sv2: 0.1}
3;2;counter model;count_out;2
3;2;counter model;;{count: 3, increment: 1}
3;1;int to float model;outFloat;0.1
3;1;int to float model;;{sv1: 2, sv2: 0.2}
4;1;int to float model;;{sv1: 3, sv2: 0.2}
4;2;counter model;count_out;3
4;2;counter model;;{count: 4, increment: 1}
4;1;int to float model;outFloat;0.2
4;1;int to float model;;{sv1: 3, sv2: 0.3}
5;1;int to float model;;{sv1: 4, sv2: 0.3}
5;2;counter model;count_out;4
5;2;counter model;;{count: 5, increment: 1}
5;1;int to float model;outFloat;0.3
5;1;int to float model;;{sv1: 4, sv2: 0.4}
6;1;int to float model;;{sv1: 5, sv2: 0.4}
6;2;counter model;count_out;5
6;2;counter model;;{count: 6, increment: 1}
6;1;int to float model;outFloat;0.4
6;1;int to float model;;{sv1: 5, sv2: 0.5}
7;1;int to float model;;{sv1: 6, sv2: 0.5}
7;2;counter model;count_out;6
7;2;counter model;;{count: 7, increment: 1}
7;1;int to float model;outFloat;0.5
7;1;int to float model;;{sv1: 6, sv2: 0.6}
8;1;int to float model;;{sv1: 7, sv2: 0.6}
8;2;counter model;count_out;7
8;2;counter model;;{count: 8, increment: 1}
8;1;int to float model;outFloat;0.6
8;1;int to float model;;{sv1: 7, sv2: 0.7}
9;1;int to float model;;{sv1: 8, sv2: 0.7}
9;2;counter model;count_out;8
9;2;counter model;;{count: 9, increment: 1}
9;1;int to float model;outFloat;0.7
9;1;int to float model;;{sv1: 8, sv2: 0.8}
9;1;int to float model;;{sv1: 8, sv2: 0.8}
9;2;counter model;;{count: 9, increment: 1}
